0,2018/09/12,Test Brand,1249,3.75,1,F,No Comment
1,2018/09/12,Test Brand,1622,2.27,1,F,No Comment
2,2018/09/12,Test Brand,1354,5.65,1,F,No Comment
3,2018/09/12,Test Brand,1486,1.80,1,F,No Comment
4,2018/09/12,Test Brand,1811,8.93,1,F,No Comment
5,2018/09/12,Test Brand,1654,6.51,1,F,No Comment
6,2018/09/12,Test Brand,912,2.97,1,F,No Comment
7,2018/09/12,Test Brand,1960,4.32,1,F,No Comment
8,2018/09/12,Test Brand,1456,1.97,1,F,No Comment
9,2018/09/12,Test Brand,810,0.04,1,F,No Comment
10,2018/09/12,Test Brand,497,2.69,1,F,No Comment
11,2018/09/12,Test Brand,986,8.71,1,F,No Comment
12,2018/09/12,Test Brand,995,6.02,1,F,No Comment
13,2018/09/12,Test Brand,331,2.63,1,F,No Comment
14,2018/09/12,Test Brand,724,9.33,1,F,No Comment
15,2018/09/12,Test Brand,530,4.61,1,F,No Comment
16,2018/09/12,Test Brand,1813,2.79,1,F,No Comment
17,2018/09/12,Test Brand,1752,7.05,1,F,No Comment
18,2018/09/12,Test Brand,863,7.89,1,F,No Comment
19,2018/09/12,Test Brand,375,1.98,1,F,No Comment
20,2018/09/12,Test Brand,1315,7.50,1,F,No Comment
21,2018/09/12,Test Brand,1227,5.79,1,F,No Comment
22,2018/09/12,Test Brand,1501,3.75,1,F,No Comment
23,2018/09/12,Test Brand,881,4.73,1,F,No Comment
24,2018/09/12,Test Brand,1247,5.36,1,F,No Comment
25,2018/09/12,Test Brand,790,0.31,1,F,No Comment
26,2018/09/12,Test Brand,1293,6.31,1,F,No Comment
27,2018/09/12,Test Brand,225,5.73,1,F,No Comment
28,2018/09/12,Test Brand,575,6.22,1,F,No Comment
29,2018/09/12,Test Brand,719,2.06,1,F,No Comment
30,2018/09/12,Test Brand,481,8.71,1,F,No Comment
31,2018/09/12,Test Brand,235,4.87,1,F,No Comment
32,2018/09/12,Test Brand,439,2.11,1,F,No Comment
33,2018/09/12,Test Brand,953,7.51,1,F,No Comment
34,2018/09/12,Test Brand,254,5.98,1,F,No Comment
35,2018/09/12,Test Brand,656,9.04,1,F,No Comment
36,2018/09/12,Test Brand,769,5.21,1,F,No Comment
37,2018/09/12,Test Brand,338,5.83,1,F,No Comment
38,2018/09/12,Test Brand,422,0.68,1,F,No Comment
39,2018/09/12,Test Brand,727,6.79,1,F,No Comment
40,2018/09/12,Test Brand,1752,6.54,1,F,No Comment
41,2018/09/12,Test Brand,293,5.29,1,F,No Comment
42,2018/09/12,Test Brand,1587,3.99,1,F,No Comment
43,2018/09/12,Test Brand,237,8.16,1,F,No Comment
44,2018/09/12,Test Brand,1220,7.15,1,F,No Comment
45,2018/09/12,Test Brand,1728,4.55,1,F,No Comment
46,2018/09/12,Test Brand,1375,2.79,1,F,No Comment
47,2018/09/12,Test Brand,1669,0.13,1,F,No Comment
48,2018/09/12,Test Brand,1964,0.53,1,F,No Comment
49,2018/09/12,Test Brand,1521,0.66,1,F,No Comment
50,2018/09/12,Test Brand,192,7.53,1,F,No Comment
51,2018/09/12,Test Brand,178,9.52,1,F,No Comment
52,2018/09/12,Test Brand,1209,8.39,1,F,No Comment
53,2018/09/12,Test Brand,1529,1.22,1,F,No Comment
54,2018/09/12,Test Brand,1578,7.85,1,F,No Comment
55,2018/09/12,Test Brand,1494,9.42,1,F,No Comment
56,2018/09/12,Test Brand,1099,8.54,1,F,No Comment
57,2018/09/12,Test Brand,55,2.53,1,F,No Comment
58,2018/09/12,Test Brand,253,8.67,1,F,No Comment
59,2018/09/12,Test Brand,1967,2.04,1,F,No Comment
60,2018/09/12,Test Brand,1790,5.60,1,F,No Comment
